,cid,canonical_smiles,molecular_weight,xlogp
285,6450,CC1=C(C=C(C(=C1Br)O)C(C)C)C2(C3=CC=CC=C3S(=O)(=O)O2)C4=C(C(=C(C(=C4)C(C)C)O)Br)C,624.4,7.6
286,6451,CC1=C(C(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C(=C4C)Br)O)Br)Br)O)Br,698,6.5
287,3033948,CCC1CN2CCC3(C2CC1C(=COC)C(=O)OC)C4=CC=CC=C4NC3=O,384.5,2.3
288,283906,CC1C=C(C(=O)C2(C1CC3C4(C2C(=O)C(=C(C4CC(O3)O)C)OC)C)C)OC,390.5,2.2
289,65571,CC1C=C(C(=O)C2(C1CC3C4(C2C(=O)C(=C(C4CC(=O)O3)C)OC)C)C)OC,388.5,2.4
290,6463,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O,228.24,2.3
291,6466,CC12C(C=CC3(C1C(C45C3CCC(C4)(C(=C)C5)O)C(=O)O)OC2=O)O,346.4,0.2
292,4764,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,318.3,3.6
293,66165,CCC(CC)(C(=O)OCC)C(=O)OCC,216.27,2.5
294,5281532,CC(=CCCC1(C2CCC(C2)C1=C)C)CO,220.35,4
295,64945,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,456.7,7.3
296,65575,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,222.37,3.9
297,6482,CC1CCC2C13CCC(C(C3)C2(C)C)(C)OC(=O)C,264.4,4.5
298,16682738,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC,631.6,
299,65576,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)O)C)C)C)NC1,415.7,6.2
300,6486,CC1=CC(=C(C(=C1)C2(CCCCC2)C)O)CC3=C(C(=CC(=C3)C)C4(CCCCC4)C)O,420.6,10
301,101536,CCC(C)(C(=O)OCC)O,146.18,0.9
302,6491,CC1(C(=O)NC(=O)N1)C,128.13,-0.3
303,6492,C1C=CC2C1C3CC2C=C3,132.2,2.5
304,6493,CCC(C)(CC)O,102.17,1.4
305,6501,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,206.24,1.9
306,6503,C(C(CO)(CO)N)O,121.14,-2.9
307,6504,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)OC(=O)C,318.32,0.6
308,6505,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,402.5,3.3
309,66170,C[N+](C)(C)CCO.C(C(=O)O)C(CC(=O)O)(C(=O)[O-])O,295.29,
310,311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,192.12,-1.7
